RGN,ITM_NM,UNIT_NM,C1_NM,PRD_DE,DT,남,여,인구
강원도,검거건수,건,강도 관련,2021,66.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,강력범죄,2014,22305.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,강력범죄,2015,24302.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,강력범죄,2016,25721.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,강력범죄,2017,24704.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,강력범죄,2018,23796.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,강력범죄,2019,22581.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,강력범죄,2020,20017.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,강력범죄,2021,17855.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,강제추행,2014,916.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,강제추행,2015,1007.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,강제추행,2016,1143.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,강제추행,2017,1255.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,강제추행,2018,1332.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,강제추행,2019,1285.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,강제추행,2020,1128.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,강제추행,2021,946.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,개발제한구역 관련,2014,527.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,개발제한구역 관련,2015,566.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,개발제한구역 관련,2016,528.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,개발제한구역 관련,2017,504.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,개발제한구역 관련,2018,481.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,개발제한구역 관련,2019,221.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,개발제한구역 관련,2020,168.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,개발제한구역 관련,2021,122.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,개인정보보호법,2014,87.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,개인정보보호법,2015,74.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,개인정보보호법,2016,81.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,개인정보보호법,2017,78.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,개인정보보호법,2018,104.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,개인정보보호법,2019,124.0,775386.0,766116.0,1541502.0
